,filename,site_name,site_code,country,contributor_abbreviated,contributor_full,contributor_website,contributor_contact,orginator,originator_website,originator_contact,latitude,longitude,coordinate_system,start_date_time,end_date_time,number_of_years,time_zone_hours,datum_information,instrument,precision,null_value,gauge_type,overall_record_quality
0,brest-822a-fra-uhslc,Brest,822A,FRA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu,Systeme d'Observation du Niveau des Eaux Littorales (SONEL)  Centre Littoral de Geophysique (CLDG)  Universite de La Rochelle  France in collaboration with Service Hydrographique et Oceanographique de la Marine (SHOM)  France ,Unspecified,Unspecified,48.383,-4.495,Unspecified,1846-01-04 00:00:00,2018-12-31 23:00:00,165,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
1,stockholm-826a-swe-uhslc,Stockholm,826A,SWE,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Swedish Meteorological and Hydrographical Institute  Sweden ,Unspecified,Unspecified,59.325,18.082,Unspecified,1889-01-01 00:00:00,2014-12-31 23:00:00,125,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
2,hornbaek-838a-dnk-uhslc,Hornbaek,838A,DNK,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Danish Meteorological Institute  Denmark,Unspecified,Unspecified,56.1,12.467,Unspecified,1891-01-01 13:00:00,2012-12-31 23:00:00,122,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
3,gedser-837a-dnk-uhslc,Gedser,837A,DNK,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Danish Meteorological Institute  Denmark ,Unspecified,Unspecified,54.567,11.933,Unspecified,1891-09-01 19:00:00,2012-12-31 23:00:00,122,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
4,marseille-824a-fra-uhslc,Marseille,824A,FRA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu,Systeme d'Observation du Niveau des Eaux Littorales (SONEL)  Centre Littoral de Geophysique (CLDG)  Universite de La Rochelle  France in collaboration with Service Hydrographique et Oceanographique de la Marine (SHOM)  France ,Unspecified,Unspecified,43.278,5.353,Unspecified,1849-11-01 09:00:00,2018-12-31 23:00:00,118,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
5,cuxhaven-825a-deu-uhslc,Cuxhaven,825A,DEU,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, German Federal Institute of Hydrology (BfG)  Germany,Unspecified,Unspecified,53.867,8.717,Unspecified,1917-12-29 09:00:00,2018-12-31 23:00:00,102,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
6,newlyn_cornwall-294a-gbr-uhslc,Newlyn_Cornwall,294A,GBR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,50.102,-5.542,Unspecified,1915-04-22 10:00:00,2016-12-31 23:00:00,102,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
7,tregde-804a-nor-uhslc,Tregde,804A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,58.0,7.567,Unspecified,1927-10-04 23:00:00,2018-12-31 23:00:00,92,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
8,la_coruna-830a-esp-uhslc,La_Coruna,830A,ESP,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Espanol de Oceanografia  ESP ,Unspecified,Unspecified,43.367,-8.4,Unspecified,1943-03-01 00:00:00,2017-12-31 23:00:00,75,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
9,ceuta-207a-esp-uhslc,Ceuta,207A,ESP,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Espanol de Oceanografia  ESP ,Unspecified,Unspecified,35.9,-5.317,Unspecified,1944-03-01 00:00:00,2017-12-31 23:00:00,74,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
